impl,layers,batch,activation,time_ms,gflops
baseline,64,512x512x512,149.48,0.45,
activation_fused,64,512x512x512,17.04,3.94,
baseline,128,512x512x512,16.89,7.95,
activation_fused,128,512x512x512,16.61,8.08,
baseline,256,512x512x512,17.21,15.60,
activation_fused,256,512x512x512,16.37,16.40,
baseline,512,512x512x512,4.60,116.77,
activation_fused,512,512x512x512,4.59,117.00,
baseline,64,1024x2048x1024,17.34,30.96,
activation_fused,64,1024x2048x1024,16.76,32.04,
baseline,128,1024x2048x1024,4.49,239.24,
activation_fused,128,1024x2048x1024,4.71,228.05,
baseline,256,1024x2048x1024,4.67,460.31,
activation_fused,256,1024x2048x1024,4.44,483.33,
baseline,512,1024x2048x1024,4.88,879.68,
activation_fused,512,1024x2048x1024,4.75,904.14,
baseline,64,2048x2048x2048,16.93,63.42,
activation_fused,64,2048x2048x2048,16.55,64.88,
baseline,128,2048x2048x2048,4.57,469.80,
activation_fused,128,2048x2048x2048,4.73,453.93,
baseline,256,2048x2048x2048,4.93,871.99,
activation_fused,256,2048x2048x2048,5.23,821.12,
baseline,512,2048x2048x2048,5.24,1639.04,
activation_fused,512,2048x2048x2048,5.27,1630.76,
