impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,relu,0.04,1692.13
activation_fused,512x512x512,64,relu,0.03,1936.64
baseline,512x512x512,128,relu,0.05,2675.47
activation_fused,512x512x512,128,relu,0.04,3001.44
baseline,512x512x512,256,relu,0.07,3965.27
activation_fused,512x512x512,256,relu,0.06,4428.11
baseline,512x512x512,512,relu,0.10,5246.03
activation_fused,512x512x512,512,relu,0.09,5690.74
baseline,1024x2048x1024,64,relu,0.11,4957.81
activation_fused,1024x2048x1024,64,relu,0.10,5244.47
baseline,1024x2048x1024,128,relu,0.18,5924.84
activation_fused,1024x2048x1024,128,relu,0.17,6195.06
baseline,1024x2048x1024,256,relu,0.30,7198.30
activation_fused,1024x2048x1024,256,relu,0.28,7543.98
baseline,1024x2048x1024,512,relu,0.49,8745.79
activation_fused,1024x2048x1024,512,relu,0.48,8985.61
baseline,2048x2048x2048,64,relu,0.17,6293.97
activation_fused,2048x2048x2048,64,relu,0.16,6525.88
baseline,2048x2048x2048,128,relu,0.31,6968.67
activation_fused,2048x2048x2048,128,relu,0.30,7194.10
baseline,2048x2048x2048,256,relu,0.49,8809.71
activation_fused,2048x2048x2048,256,relu,0.48,8976.96
baseline,2048x2048x2048,512,relu,0.91,9478.55
activation_fused,2048x2048x2048,512,relu,0.81,10609.50
