impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,relu,16.47,4.07
activation_fused,512x512x512,64,relu,16.94,3.96
baseline,512x512x512,128,relu,17.02,7.89
activation_fused,512x512x512,128,relu,16.74,8.02
baseline,512x512x512,256,relu,16.96,15.83
activation_fused,512x512x512,256,relu,16.82,15.96
baseline,512x512x512,512,relu,4.64,115.69
activation_fused,512x512x512,512,relu,4.88,109.96
baseline,1024x2048x1024,64,relu,17.29,31.05
activation_fused,1024x2048x1024,64,relu,16.85,31.86
baseline,1024x2048x1024,128,relu,4.33,248.12
activation_fused,1024x2048x1024,128,relu,4.87,220.52
baseline,1024x2048x1024,256,relu,4.68,458.59
activation_fused,1024x2048x1024,256,relu,4.72,455.31
baseline,1024x2048x1024,512,relu,4.89,878.20
activation_fused,1024x2048x1024,512,relu,4.88,879.86
baseline,2048x2048x2048,64,relu,17.15,62.62
activation_fused,2048x2048x2048,64,relu,16.52,64.99
baseline,2048x2048x2048,128,relu,4.65,461.72
activation_fused,2048x2048x2048,128,relu,4.68,458.40
baseline,2048x2048x2048,256,relu,5.00,858.26
activation_fused,2048x2048x2048,256,relu,4.82,890.89
baseline,2048x2048x2048,512,relu,5.32,1614.44
activation_fused,2048x2048x2048,512,relu,5.44,1580.38
