impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,gelu,18.80,3.57
activation_fused,512x512x512,64,gelu,17.73,3.79
baseline,512x512x512,128,gelu,18.05,7.44
activation_fused,512x512x512,128,gelu,17.81,7.54
baseline,512x512x512,256,gelu,21.56,12.45
activation_fused,512x512x512,256,gelu,18.06,14.86
baseline,512x512x512,512,gelu,5.03,106.82
activation_fused,512x512x512,512,gelu,4.98,107.79
baseline,1024x2048x1024,64,gelu,18.14,29.60
activation_fused,1024x2048x1024,64,gelu,18.38,29.21
baseline,1024x2048x1024,128,gelu,5.08,211.19
activation_fused,1024x2048x1024,128,gelu,5.05,212.61
baseline,1024x2048x1024,256,gelu,5.18,414.70
activation_fused,1024x2048x1024,256,gelu,5.12,419.26
baseline,1024x2048x1024,512,gelu,5.36,800.89
activation_fused,1024x2048x1024,512,gelu,5.36,800.59
baseline,2048x2048x2048,64,gelu,18.28,58.74
activation_fused,2048x2048x2048,64,gelu,18.84,56.99
baseline,2048x2048x2048,128,gelu,5.26,408.57
activation_fused,2048x2048x2048,128,gelu,5.27,407.69
baseline,2048x2048x2048,256,gelu,5.37,799.98
activation_fused,2048x2048x2048,256,gelu,5.32,807.52
baseline,2048x2048x2048,512,gelu,5.66,1516.37
activation_fused,2048x2048x2048,512,gelu,5.66,1518.03
