impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,gelu,16.68,4.02
activation_fused,512x512x512,64,gelu,16.90,3.97
baseline,512x512x512,128,gelu,16.88,7.95
activation_fused,512x512x512,128,gelu,16.55,8.11
baseline,512x512x512,256,gelu,16.94,15.85
activation_fused,512x512x512,256,gelu,16.86,15.92
baseline,512x512x512,512,gelu,4.67,114.87
activation_fused,512x512x512,512,gelu,4.59,116.87
baseline,1024x2048x1024,64,gelu,16.54,32.46
activation_fused,1024x2048x1024,64,gelu,16.93,31.71
baseline,1024x2048x1024,128,gelu,4.73,227.16
activation_fused,1024x2048x1024,128,gelu,4.90,219.14
baseline,1024x2048x1024,256,gelu,4.70,456.80
activation_fused,1024x2048x1024,256,gelu,4.78,449.26
baseline,1024x2048x1024,512,gelu,4.93,871.99
activation_fused,1024x2048x1024,512,gelu,4.68,917.99
baseline,2048x2048x2048,64,gelu,16.92,63.47
activation_fused,2048x2048x2048,64,gelu,17.11,62.75
baseline,2048x2048x2048,128,gelu,4.38,490.79
activation_fused,2048x2048x2048,128,gelu,4.71,456.10
baseline,2048x2048x2048,256,gelu,4.86,884.13
activation_fused,2048x2048x2048,256,gelu,4.93,870.73
baseline,2048x2048x2048,512,gelu,5.20,1650.98
activation_fused,2048x2048x2048,512,gelu,5.37,1598.44
