impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,gelu,17.11,3.92
activation_fused,512x512x512,64,gelu,16.88,3.98
baseline,512x512x512,128,gelu,16.67,8.05
activation_fused,512x512x512,128,gelu,16.49,8.14
baseline,512x512x512,256,gelu,16.74,16.04
activation_fused,512x512x512,256,gelu,16.93,15.85
baseline,512x512x512,512,gelu,4.52,118.67
activation_fused,512x512x512,512,gelu,4.23,126.95
baseline,1024x2048x1024,64,gelu,17.13,31.33
activation_fused,1024x2048x1024,64,gelu,16.48,32.57
baseline,1024x2048x1024,128,gelu,4.53,237.02
activation_fused,1024x2048x1024,128,gelu,4.66,230.51
baseline,1024x2048x1024,256,gelu,4.69,457.79
activation_fused,1024x2048x1024,256,gelu,4.68,459.10
baseline,1024x2048x1024,512,gelu,4.85,885.81
activation_fused,1024x2048x1024,512,gelu,4.84,888.07
baseline,2048x2048x2048,64,gelu,17.40,61.72
activation_fused,2048x2048x2048,64,gelu,17.11,62.74
baseline,2048x2048x2048,128,gelu,4.79,448.68
activation_fused,2048x2048x2048,128,gelu,4.75,452.27
baseline,2048x2048x2048,256,gelu,4.93,871.09
activation_fused,2048x2048x2048,256,gelu,4.84,886.93
baseline,2048x2048x2048,512,gelu,5.47,1570.91
activation_fused,2048x2048x2048,512,gelu,5.34,1608.87
