impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,gelu,0.05,1489.45
activation_fused,512x512x512,64,gelu,0.04,1680.41
baseline,512x512x512,128,gelu,0.05,2474.52
activation_fused,512x512x512,128,gelu,0.05,2730.67
baseline,512x512x512,256,gelu,0.07,3799.19
activation_fused,512x512x512,256,gelu,0.06,4297.44
baseline,512x512x512,512,gelu,0.11,4993.22
activation_fused,512x512x512,512,gelu,0.10,5406.77
baseline,1024x2048x1024,64,gelu,0.11,4898.46
activation_fused,1024x2048x1024,64,gelu,0.11,5041.23
baseline,1024x2048x1024,128,gelu,0.18,5826.43
activation_fused,1024x2048x1024,128,gelu,0.17,6278.90
baseline,1024x2048x1024,256,gelu,0.28,7598.38
activation_fused,1024x2048x1024,256,gelu,0.27,7825.19
baseline,1024x2048x1024,512,gelu,0.50,8665.92
activation_fused,1024x2048x1024,512,gelu,0.48,9001.26
baseline,2048x2048x2048,64,gelu,0.17,6169.23
activation_fused,2048x2048x2048,64,gelu,0.17,6473.94
baseline,2048x2048x2048,128,gelu,0.31,6968.01
activation_fused,2048x2048x2048,128,gelu,0.30,7158.28
baseline,2048x2048x2048,256,gelu,0.49,8756.38
activation_fused,2048x2048x2048,256,gelu,0.48,9001.26
baseline,2048x2048x2048,512,gelu,0.87,9915.61
activation_fused,2048x2048x2048,512,gelu,0.72,11949.58
