impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,relu,18.21,3.69
activation_fused,512x512x512,64,relu,19.44,3.45
baseline,512x512x512,128,relu,18.42,7.29
activation_fused,512x512x512,128,relu,17.98,7.47
baseline,512x512x512,256,relu,18.54,14.48
activation_fused,512x512x512,256,relu,18.31,14.66
baseline,512x512x512,512,relu,4.96,108.28
activation_fused,512x512x512,512,relu,4.97,107.94
baseline,1024x2048x1024,64,relu,18.81,28.53
activation_fused,1024x2048x1024,64,relu,18.57,28.91
baseline,1024x2048x1024,128,relu,5.04,213.08
activation_fused,1024x2048x1024,128,relu,5.03,213.30
baseline,1024x2048x1024,256,relu,5.16,416.51
activation_fused,1024x2048x1024,256,relu,5.18,414.46
baseline,1024x2048x1024,512,relu,5.34,803.82
activation_fused,1024x2048x1024,512,relu,5.32,807.84
baseline,2048x2048x2048,64,relu,18.08,59.38
activation_fused,2048x2048x2048,64,relu,18.26,58.79
baseline,2048x2048x2048,128,relu,5.32,404.00
activation_fused,2048x2048x2048,128,relu,5.16,416.43
baseline,2048x2048x2048,256,relu,5.38,798.61
activation_fused,2048x2048x2048,256,relu,5.35,803.51
baseline,2048x2048x2048,512,relu,5.70,1505.77
activation_fused,2048x2048x2048,512,relu,5.74,1495.56
