impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,gelu,0.04,1695.63
activation_fused,512x512x512,64,gelu,0.04,1905.67
baseline,512x512x512,128,gelu,0.05,2683.15
activation_fused,512x512x512,128,gelu,0.04,2984.34
baseline,512x512x512,256,gelu,0.07,3986.37
activation_fused,512x512x512,256,gelu,0.06,4383.68
baseline,512x512x512,512,gelu,0.10,5226.68
activation_fused,512x512x512,512,gelu,0.09,5666.75
baseline,1024x2048x1024,64,gelu,0.11,4951.27
activation_fused,1024x2048x1024,64,gelu,0.10,5244.45
baseline,1024x2048x1024,128,gelu,0.18,5911.13
activation_fused,1024x2048x1024,128,gelu,0.17,6165.19
baseline,1024x2048x1024,256,gelu,0.30,7176.62
activation_fused,1024x2048x1024,256,gelu,0.28,7692.87
baseline,1024x2048x1024,512,gelu,0.49,8736.50
activation_fused,1024x2048x1024,512,gelu,0.48,8970.05
baseline,2048x2048x2048,64,gelu,0.17,6274.76
activation_fused,2048x2048x2048,64,gelu,0.16,6525.86
baseline,2048x2048x2048,128,gelu,0.31,6970.06
activation_fused,2048x2048x2048,128,gelu,0.30,7184.50
baseline,2048x2048x2048,256,gelu,0.49,8790.14
activation_fused,2048x2048x2048,256,gelu,0.48,8973.51
baseline,2048x2048x2048,512,gelu,0.93,9258.13
activation_fused,2048x2048x2048,512,gelu,0.92,9358.63
