impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,relu,16.54,4.06
activation_fused,512x512x512,64,relu,16.87,3.98
baseline,512x512x512,128,relu,17.22,7.79
activation_fused,512x512x512,128,relu,16.16,8.30
baseline,512x512x512,256,relu,16.72,16.05
activation_fused,512x512x512,256,relu,17.39,15.43
baseline,512x512x512,512,relu,4.70,114.35
activation_fused,512x512x512,512,relu,4.54,118.32
baseline,1024x2048x1024,64,relu,16.90,31.76
activation_fused,1024x2048x1024,64,relu,17.33,30.98
baseline,1024x2048x1024,128,relu,4.86,220.80
activation_fused,1024x2048x1024,128,relu,4.68,229.65
baseline,1024x2048x1024,256,relu,4.68,458.90
activation_fused,1024x2048x1024,256,relu,4.79,448.21
baseline,1024x2048x1024,512,relu,4.98,861.96
activation_fused,1024x2048x1024,512,relu,4.95,866.95
baseline,2048x2048x2048,64,relu,17.38,61.80
activation_fused,2048x2048x2048,64,relu,16.83,63.80
baseline,2048x2048x2048,128,relu,4.72,454.72
activation_fused,2048x2048x2048,128,relu,4.78,449.17
baseline,2048x2048x2048,256,relu,4.94,868.56
activation_fused,2048x2048x2048,256,relu,4.72,910.42
baseline,2048x2048x2048,512,relu,5.36,1601.80
activation_fused,2048x2048x2048,512,relu,5.39,1593.88
