impl,layers,batch,activation,time_ms,gflops
baseline,512x512x512,64,relu,18.25,3.68
activation_fused,512x512x512,64,relu,18.12,3.70
baseline,512x512x512,128,relu,18.28,7.34
activation_fused,512x512x512,128,relu,18.21,7.37
baseline,512x512x512,256,relu,17.97,14.94
activation_fused,512x512x512,256,relu,18.31,14.66
baseline,512x512x512,512,relu,4.98,107.77
activation_fused,512x512x512,512,relu,4.96,108.35
baseline,1024x2048x1024,64,relu,18.14,29.60
activation_fused,1024x2048x1024,64,relu,18.23,29.46
baseline,1024x2048x1024,128,relu,5.13,209.30
activation_fused,1024x2048x1024,128,relu,5.15,208.55
baseline,1024x2048x1024,256,relu,5.16,416.10
activation_fused,1024x2048x1024,256,relu,5.15,416.76
baseline,1024x2048x1024,512,relu,5.33,806.44
activation_fused,1024x2048x1024,512,relu,5.29,811.75
baseline,2048x2048x2048,64,relu,18.04,59.52
activation_fused,2048x2048x2048,64,relu,18.19,59.02
baseline,2048x2048x2048,128,relu,5.16,416.10
activation_fused,2048x2048x2048,128,relu,5.24,409.68
baseline,2048x2048x2048,256,relu,5.37,799.37
activation_fused,2048x2048x2048,256,relu,5.35,803.51
baseline,2048x2048x2048,512,relu,5.78,1486.82
activation_fused,2048x2048x2048,512,relu,5.74,1496.63
