impl,layers,batch,activation,time_ms,gflops,max_error
baseline,512x512x512,64,relu,17.72,3.79
activation_fused,512x512x512,64,relu,16.88,3.98
baseline,512x512x512,128,relu,16.97,7.91
activation_fused,512x512x512,128,relu,17.05,7.87
baseline,512x512x512,256,relu,16.68,16.09
activation_fused,512x512x512,256,relu,16.77,16.01
baseline,512x512x512,512,relu,4.50,119.35
activation_fused,512x512x512,512,relu,4.63,115.92
baseline,1024x2048x1024,64,relu,16.97,31.63
activation_fused,1024x2048x1024,64,relu,16.78,31.99
baseline,1024x2048x1024,128,relu,4.62,232.60
activation_fused,1024x2048x1024,128,relu,4.63,231.88
baseline,1024x2048x1024,256,relu,4.74,452.95
activation_fused,1024x2048x1024,256,relu,4.72,454.62
baseline,1024x2048x1024,512,relu,4.97,864.09
activation_fused,1024x2048x1024,512,relu,4.87,882.64
baseline,2048x2048x2048,64,relu,16.90,63.53
activation_fused,2048x2048x2048,64,relu,16.89,63.58
baseline,2048x2048x2048,128,relu,4.67,459.80
activation_fused,2048x2048x2048,128,relu,4.76,450.81
baseline,2048x2048x2048,256,relu,4.83,890.13
activation_fused,2048x2048x2048,256,relu,4.86,884.12
baseline,2048x2048x2048,512,relu,5.28,1626.01
activation_fused,2048x2048x2048,512,relu,5.32,1614.43
